id,prediction
1.23309671033283E+018,1
1.23305933251169E+018,0
1.23271668202994E+018,0
1.23270487422949E+018,1
1.23270472302905E+018,1
1.23261677844396E+018,1
1.23224209128527E+018,1
1.23145206667514E+018,0
1.23145206566005E+018,1
1.23144225628617E+018,1
1.23128769469891E+018,1
1.23128769383071E+018,1
1.23128769257236E+018,1
1.23126738761546E+018,1
1.23118868762459E+018,1
1.23108374240556E+018,1
1.23080816054755E+018,1
1.23080605038062E+018,1
1.23074525202304E+018,0
1.23068430642883E+018,0
1.23035852730844E+018,1
1.23034944265986E+018,1
1.2301475358404E+018,1
1.22967232461978E+018,1
1.22963591070421E+018,1
1.22943406485745E+018,1
1.22943406385075E+018,1
1.22849421725471E+018,1
1.22832998809047E+018,1
1.22832360144887E+018,1
1.22829205480927E+018,1
1.22828912010931E+018,1
1.22804007433767E+018,1
1.22803418776618E+018,0
1.22785041541443E+018,1
1.22759507098933E+018,1
1.22758982707331E+018,1
1.22753046174175E+018,0
1.22752238568489E+018,1
1.22719141503531E+018,1
1.2271874697765E+018,1
1.22718697678647E+018,1
1.22717121499462E+018,1
1.22712023322117E+018,0
1.22709995016263E+018,1
1.22708378929533E+018,1
1.22692729317358E+018,0
1.22688783368157E+018,0
1.22688078110204E+018,1
1.22679901148878E+018,1
1.22679735395862E+018,1
1.2267876274765E+018,1
1.22678762639869E+018,0
1.2266734945676E+018,1
1.22654304752308E+018,1
1.22645936798735E+018,0
1.22611912223011E+018,0
1.22609627462307E+018,1
1.22602161292911E+018,1
1.22601356114469E+018,1
1.22554348278741E+018,1
1.22547331357038E+018,1
1.22542527729314E+018,1
1.22541056501268E+018,1
1.22476260205787E+018,1
1.22466631449886E+018,1
1.22455352222781E+018,1
1.22454872876331E+018,1
1.22452104455753E+018,1
1.22434221744944E+018,1
1.22419861177865E+018,1
1.22419533693319E+018,0
1.22388495167177E+018,1
1.22385755046411E+018,1
1.2236601013173E+018,1
1.22364001569308E+018,1
1.22356196891052E+018,1
1.22329669306572E+018,1
1.22328505646E+018,1
1.22328420392151E+018,1
1.22327107586739E+018,1
1.22325985308434E+018,1
1.22312546856975E+018,1
1.2229304596147E+018,1
1.22273306030892E+018,0
1.22273283225207E+018,1
1.22267919355476E+018,1
1.22251443321534E+018,1
1.22248661366359E+018,1
1.22187756307476E+018,0
1.22176356352365E+018,1
1.22173427405284E+018,0
1.22172667572308E+018,1
1.22123097224878E+018,0
1.2210150191959E+018,0
1.22101071874672E+018,1
1.22096810102357E+018,1
1.22086856149897E+018,1
1.2207659286081E+018,1
1.22073562007679E+018,0
1.22063302862141E+018,1
1.2205560936231E+018,1
1.22037625331795E+018,1
1.22037625211005E+018,1
1.22035154317152E+018,1
1.22032538528143E+018,1
1.22030140828677E+018,1
1.22030140726326E+018,1
1.22027136037255E+018,1
1.22024553449927E+018,1
1.22023615042364E+018,0
1.22017925059199E+018,1
1.22002228174276E+018,1
1.22002227966246E+018,1
1.22001977780618E+018,1
1.21979975015064E+018,1
1.21966665207531E+018,1
1.21924711022853E+018,1
1.21914460546103E+018,0
1.21894471909238E+018,0
1.21887040138586E+018,1
1.21880781510978E+018,1
1.21856339958558E+018,1
1.21848281575666E+018,1
1.21846073492711E+018,1
1.21820406621345E+018,1
1.21819340423819E+018,1
1.21818480563397E+018,0
1.21812705592725E+018,1
1.21760717705096E+018,0
1.21731015196907E+018,1
1.21713326570805E+018,1
1.21712259380064E+018,0
1.21695501011583E+018,0
1.21662196896916E+018,1
1.21628294446736E+018,1
1.21628068291541E+018,1
1.21620560239078E+018,1
1.2161964081408E+018,1
1.21589031841299E+018,1
1.21588698090458E+018,0
1.21587130387128E+018,1
1.2158617235651E+018,0
1.21557553524345E+018,1
1.21551700955693E+018,0
1.21538824088418E+018,1
1.21531147659815E+018,1
1.21526849641998E+018,1
1.21526800158862E+018,1
1.21526781133507E+018,1
1.2152665113441E+018,1
1.21496296387614E+018,1
1.21495518611815E+018,1
1.21481280903857E+018,0
1.21460309502137E+018,1
1.21450311108098E+018,1
1.21423406249324E+018,1
1.2141761414325E+018,1
1.21416459830112E+018,0
1.2138910814877E+018,1
1.21380828204281E+018,1
1.21380828115785E+018,1
1.2137660492477E+018,1
1.21375244035446E+018,1
1.21356431965865E+018,1
1.21352628161632E+018,1
1.21352195293516E+018,1
1.21351449753468E+018,0
1.21350126556247E+018,1
1.21349615569644E+018,1
