1.23309671033283E+018,1,all new samsung s20 and s20 ultra is now open for preorder at dialog sri only network to URL
1.23307471722715e+18,1,hi abdul do accept our sincere apologies for the inconvenience caused kindly dm us your relevant URL
1.23289288901498e+18,1,you are most welcome EMO_POS have a lovely day ahead EMO_POS
1.23289118463858e+18,0,hi yes it is possible this can be done via an outlet of ours where both parties must be present URL
1.23273872094579e+18,-1,we are extremely sorry for the inconvenience caused appreciate you may contact us via in order URL
1.23270699095206e+18,0,sri lanka vs west indies match matches URL
1.2327005932543e+18,0,ten cricket sony espn hd channels
1.23269991326124e+18,1,hi sandun thank you for your feedback we will forward this to the relevant division to look into
1.23269850052738e+18,1,hi shehan exact match
1.2326772136963e+18,-1,hi raaziya extremely sorry for the inconvenience caused please do share us your relevant connection URL
1.23235874357429e+18,0,hi supun appreciate if you could share your connection number and location details so that we can URL
1.23227744517016e+18,0,hi menda connection number
1.23224209016114e+18,0,hi prasanna hope you are referring to the rs.99.81 bill amount which was generated on the URL
1.23222372985545e+18,-1,hi we are sorry for any inconvenience which has caused to you pls dm us your connection details URL
1.23220847781843e+18,-1,we are unable to check on this
1.23220847682018e+18,1,hi we do understand that you have raised this signal issue time to time and it would be highly URL
1.23206898026698e+18,1,kindly share a screenshot of the e bill received along with a reachable contact number of yours URL
1.23190971468817e+18,-1,hi kaveen suggestion complaint close contact URL
1.23186261517506e+18,0,hi prashan appreciate if you could dm us your nic number in order for us to assist you on the same
1.23185081369539e+18,0,
1.23183640102246e+18,0,check assist connection number dm
1.23182621633802e+18,1,you are most welcome
1.23181798041529e+18,1,hi we do offer esim and the available devices would be as iphone iphone pro iphone URL
1.23177719731424e+18,1,hi tharindu apologies for the inconvenience caused.we kindly request you to dm us the below URL
1.23146610425566e+18,1,hi ruchaka kindly dm us your connection number to check and assist you on the same
1.23126553252506e+18,1,hi kindly note that you can check your mega wasana winnings and prizes by dialing or calling URL
1.23122160014351e+18,1,hi oshila appreciate if you could elaborate more on your concern and dm the relevant connection number to check on the
1.23118966744325e+18,1,your most welcome
1.23110677381113e+18,1,thanks for the update
1.23110247755616e+18,0,hope youre being handled by an agent now and the refund will be given as discussed
1.23109269412398e+18,0,connection activate
1.23108561771664e+18,-1,hi we are sorry to put you through the same please provide your dtv account number and a contact URL
1.23106845681827e+18,0,as discussed hope youll visit the dialog outlet today
1.23081121181978e+18,0,hi im_muba yes you can collect
1.2307444776958e+18,1,weve informed the relevant supervisor and youll be receiving an email via serviceUSER_MENTION URL
1.23069729229585e+18,1,we wish to inform you that your payment has been successfully updated
1.23056360656921e+18,0,hi please be informed that there is currently a system maintenance occuring which might be causing the URL
1.23051254312014e+18,-1,hi azaff the reason for the channel being blocked during the match time is due to the URL
1.23050292580764e+18,1,hi zalmi kindly share your connection number via dm to check and assist on the same
1.23046110031293e+18,0,hi please accept our apologies and were checking on your concern which is related to payment one of URL
1.23044807624403e+18,1,inventor of the cut copy and paste command has passed at the age of our lives are easier thanks to his URL
1.230358528961e+18,1,jshabry happy to have served you have a nice day please take a few minutes to rate our service URL
1.23035480640289e+18,1,thank you so much for sharing the details further to the above our relevant team will be checking URL
1.23033956531706e+18,0,hi mohammed sabry apologies for the inconvenience caused appreciate if you could please let us know URL
1.23031433595785e+18,-1,hi we are really sorry for this bad experience could you please dm us your connection URL
1.23020486313452e+18,0,hi could you dm the connection number2 current location address device modelin order for us URL
1.23019664497048e+18,-1,hi sumran were sorry for the inconvenience could you let us know whether you are referring to home URL
1.23015586571556e+18,1,have you been informed about the previous sr please kindly share a image of the router along with a URL
1.23014204922105e+18,1,hi johanns if you are facing any issues with your connection please do share the relevant URL
1.23013071276394e+18,-1,hi seni please accept our humble apologies for the inconvenience caused appreciate if you could URL
1.23012668530514e+18,0,hi harshana appreciate if you could share a screenshot of the mentioned prompt via dm so that we can URL
1.2301108097512e+18,1,hi ayesha please do accept our sincere apologies if any inconvenience caused with our services URL
1.23005644184903e+18,1,hi sadaham apologies for the inconvenience caused appreciate if you could dm the relevant URL
1.2300175191818e+18,1,hi salinda kindly dm your connection number to check and assist you on the same
1.22999269989539e+18,1,a computer unlike any computer apple ipad now available at dialog monthly installment plans at URL
1.22976073702069e+18,1,among the first to own a samsung s20 ultra s20 and s20 from sri no.1 network dialog.available URL
1.22975061259155e+18,0,we have replied to your dm now EMO_POS
1.22974705128771e+18,0,hi there pls dm us your connection details for us to check on the possibility let you know
1.22972631328561e+18,1,hi azeera appreciate if you could dm us the relevant connection number to check on the
